structural_type,construction_material,fire_load_type,wall_thickness,height_floors,temperature,wind,humidity,area_m2,paint,room_number,room_occupants,fire_resistance
Masonry Structures,Concrete,Residential,2,5,20.645259248172028,7.090406547740878,54.38707970022236,1354,Fire Resistant Paint,10,10,3.5
Timber Structures,Steel,Commercial,1,26,25.424987132006414,7.322114578087622,45.21852076570489,944,Fire Resistant Paint,67,32,2.8
Timber Structures,Concrete,Residential,2,3,24.313027475126344,1.9626418535671384,68.11092501555831,1998,Standard Paint,3,5,3.8
Timber Structures,Steel,Commercial,2,17,24.12831885013324,3.0660417109238356,71.14570276432123,1872,Standard Paint,74,22,2.0
Timber Structures,Timber,Commercial,2,38,10.848886240317876,1.5707514698676137,60.55240300112309,1070,Fire Resistant Paint,84,30,3.5
Brick,Timber,Residential,2,5,30.85298609417657,5.854950280732402,55.78294898174053,1922,Fire Resistant Paint,10,10,4.2
Masonry Structures,Concrete,Commercial,2,19,13.096205328668292,3.526798168490166,53.83968583823286,1530,Standard Paint,67,24,4.5
Sandstone,Steel,Commercial,2,46,15.089515246458435,8.985833031835515,77.52200554187922,354,Fire Resistant Paint,69,14,5.3
Timber Structures,Concrete,Commercial,1,43,27.632356910513117,2.9482468154659602,80.76950091028644,1768,Fire Resistant Paint,93,30,2.8
Reinforced Concrete Structures,Concrete,Commercial,1,21,25.475736446217788,6.007780953542433,40.14870402703351,985,Standard Paint,71,40,3.7
Brick,Concrete,Residential,1,4,10.984458008227396,8.110729020651007,54.51951249782283,1966,Fire Resistant Paint,5,2,5.0
Timber Structures,Timber,Residential,1,5,13.534697362676773,9.666498049666423,66.34425615045848,391,Standard Paint,8,4,2.1
Timber Structures,Steel,Commercial,1,7,23.762193540173563,8.788934075030078,71.93847430150646,477,Fire Resistant Paint,90,43,4.8
Reinforced Concrete Structures,Concrete,Commercial,2,31,12.13348939034603,6.394802640657888,53.302540889411176,299,Standard Paint,59,37,5.7
Reinforced Concrete Structures,Concrete,Commercial,1,49,18.047051493225666,7.42038779175928,50.90426162111725,447,Standard Paint,74,35,6.4
Masonry Structures,Concrete,Residential,1,3,15.700703601121571,6.829322881420448,55.23648139815575,1238,Standard Paint,8,7,6.4
Brick,Timber,Commercial,2,21,19.406837501840187,4.459615294428222,62.619400351475065,1607,Standard Paint,90,50,2.2
Sandstone,Concrete,Residential,2,3,15.310208863162513,4.211682301190654,69.66802841210085,1356,Standard Paint,9,4,4.8
Timber Structures,Steel,Commercial,2,11,31.349785872203718,9.081408145727819,60.285219462726474,328,Fire Resistant Paint,57,10,3.3
Brick,Timber,Residential,1,2,29.700134412981424,9.478673793200981,49.67858300295928,548,Standard Paint,8,4,1.6
Masonry Structures,Steel,Residential,1,2,14.347555458897105,6.45049490212587,76.17002380457717,822,Standard Paint,10,7,2.3
Timber Structures,Concrete,Residential,2,5,31.689543503605876,3.3397234136844873,69.2532432998441,1525,Fire Resistant Paint,10,5,1.4
Masonry Structures,Timber,Residential,2,2,33.924571430820436,2.0861956248431586,55.817617561663056,1660,Standard Paint,9,4,1.3
Sandstone,Timber,Residential,2,3,12.613152451202573,7.5206910331717465,50.545850011610476,386,Fire Resistant Paint,7,1,5.9
Brick,Steel,Residential,2,3,24.41098023981453,5.566558212414419,72.79475760918533,742,Standard Paint,7,8,3.7
Brick,Timber,Residential,1,4,31.060091040962455,4.679894655497325,64.03592057885945,1425,Fire Resistant Paint,7,1,4.8
Reinforced Concrete Structures,Concrete,Commercial,1,44,11.619818832821757,2.5058581814988443,86.45371890837419,993,Standard Paint,56,15,1.6
Reinforced Concrete Structures,Concrete,Commercial,2,19,24.974427756560623,4.175514351375769,73.1774842770304,124,Fire Resistant Paint,64,16,2.2
Timber Structures,Concrete,Commercial,1,37,16.852560062335662,9.339111046695963,52.20409119189849,450,Standard Paint,88,12,1.8
Masonry Structures,Concrete,Residential,1,3,16.299427755435786,3.9178196949633914,79.85455388395218,387,Standard Paint,8,1,3.7
Timber Structures,Concrete,Commercial,2,19,16.73726811462194,9.9395579255962,40.38494545180683,618,Fire Resistant Paint,81,43,2.2
Brick,Steel,Residential,1,4,14.75861774434166,7.434001122066595,84.03256860710144,406,Standard Paint,4,4,2.7
Timber Structures,Concrete,Commercial,2,28,18.239353697018217,4.030439858738646,88.11587807235074,1142,Standard Paint,69,25,4.0
Brick,Steel,Residential,1,6,20.64798911337614,6.766034281785575,79.22996069322059,741,Standard Paint,9,1,2.8
Masonry Structures,Concrete,Residential,1,3,20.324019329326827,3.719985576030573,60.03044321633898,1155,Standard Paint,6,8,1.3
Masonry Structures,Steel,Commercial,1,42,32.29884143245102,6.665250382403245,76.22254676058243,520,Standard Paint,66,25,2.8
Masonry Structures,Timber,Residential,2,6,16.576612423483922,3.142689967190657,69.3101045872594,1622,Standard Paint,9,3,4.3
Timber Structures,Steel,Commercial,2,38,19.761991731406475,8.27176850945799,82.51351615737062,1441,Standard Paint,75,32,3.9
Brick,Concrete,Residential,2,3,17.19596760118646,6.214398626453004,77.77857450935059,1625,Standard Paint,6,5,6.7
Brick,Steel,Residential,1,5,17.52710171012066,1.7080459483692414,56.378693991838816,281,Fire Resistant Paint,10,5,1.7
Masonry Structures,Timber,Residential,2,6,23.05880846430293,4.449074797096179,84.23849746110855,1343,Standard Paint,8,1,3.5
